Firma;Anrede;Vorname;Nachname;Strasse;PLZ;Ort;Öffnungszeiten;Telefon;Pin Farbe;Temporär;Transporte
Post;;;;Via Nova 15;7017;Flims Dorf;"Mo-Fr 08:00 – 12:00, 14:00 – 18:00 Sa: 08:00 -11:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 453 22 10;FE7569;;
Post;;;;Dorfstrasse 6;3715;Adelboden;"Mo-Fr 07:40 – 12:00, 13:30 – 18:00, Sa 07:40 – 12:00, 13:30 - 17:30; Sa 07:40 - 12:00, 13:30 - 17:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 33 673 74 74;FE7569;;
Post;;;;Mehrzweckgebäude;3910;Saas Grund;"Mo-Fr 08:00 – 11:00, 14:00 – 17:30; Sa 08:00 – 11:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 454 28 17;FE7569;;
Post;;;;Dorf 317G;6085;Hasliberg Goldern;"Mo-Fr 08:00 – 11:00, 14:30 – 17:30 Sa 08:00 – 10:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 454 60 46;FE7569;;
Post;;;;Postplatz 4;3906;Saas Fee;"Mo–Sa  07:20 – 18:00; So 07:45 - 12:00, 13:45 - 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 454 26 16;FE7569;;
Post;;;;Hauptstrasse 28;7432;Zillis;"Mo-Fr 08:00 – 11:00, 15:00 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 453 24 21;FE7569;;
Post;;;;Poststrasse 44 A;7077;Vals;"Mo-Fr 08:00 – 11:30, 14:30 – 17:15; Sa 08:00 – 11:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 453 24 25;FE7569;;
Post;;;;Via Principala 57;7014;Trin;"Mo-Fr 07:00 – 19:30; Sa 07:00 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0848 888 888;FE7569;;
Pico Bollo;;;;Bollwerk 35;3011;Bern;"Mo 13:00 – 18:30;  Di-Fr 09:00 – 18:30; Sa 10:00- 16:00";;FE7569;;
OPRA Arbeitsmarktprogramm;;;;Rhonesandstrasse 32;3900;Brig;Mo-Fr 8-12 & 13-16.30;;09F932;;
Mobil2 GmbH;Frau;Regula;Glättli;Seestrasse 185;8708;Männedorf;Di-Fr 14-19. Sa 9-14;+41 43 888 04 80;FE7569;;
maxi.mumm;Herr;Jonathan;Hirschi;Bahnhofstrasse 37;4900;Langenthal;Mo-Fr 8-12, 13-17;;09F932;;
Küttel Radsport;;;;Luzernerstrasse 32;5630;Muri AG;"Di-Fr 9 - 12h & 13.30 - 18.30h; Sa 9 - 16h";+41 56 664 80 11;FE7569;;
Hubrol;Frau;Margrit;Eberhard-Furrer;Kornmattstrasse (beim Bahnhof SBB);6460;Altdorf;Velos können im Büro der Firma Hubrol abgegeben werden:<br />Montag-Freitag: 7:30 - 12:00 & 13:30 - 17:30<br />Sa: geschlossen<br />Hauptsammlung 2016: Sa, 24. Sept., 9:00-11:00;+41 41 870 87 40;1C3D7A;;
HEKS TG job Velowerkstatt;;;;Weinfelderstrasse 11;8580;Amriswil;Mo-Fr 08:00 – 12:00, 13:30 – 17:00;;09F932;;
Heimstätte Bärau;;;;Bäraustrasse 71;3552;Bärau;8-12 & 13-17;;09F932;;
Heilpädagogisches Zentrum des Fürstentums Liechtenstein (hpz);;;;Im alten Riet 103;9494;Schaan;;;09F932;;
HALLE 44;;;;Altgasse 44;6340;Baar;;;;;
Gepäckschalter Seilbahn;;;;Bahnhofstr. 4;3987;Riederalp Mitte;"Mo-Sa 08:00 – 19:30; So 08:00 – 12:00, 13:30 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Genèveroule;;;Meyrin;Place de Montbrillant 17;1201;Genève;09:00-19:00;+41 22 740 10 70;FE7569;;
Genèveroule;;;Arcade Terrassière;Place de Montbrillant 17;1201;Genève;mai-oct: 08:00-21:00<br />nov-avr: 08:00-18:00;+41 22 735 06 38;FE7569;;
Genèveroule;;;Arcade Montbrillant;Place de Montbrillant 17;1201;Genève;mai-oct: 08:00-21:00<br />nov-avr: 08:00-18:00;+41 22 740 14 15;FE7569;;
Gemeindewerkhof;Herr;Stefan;Straumann;Langenhagenstrasse 9;4147;Aesch;Mo-Fr 08:00 – 12:00, 13:00 – 16:00;+41 61 756 76 90;FE7569;;
Gare, guichet des bagages;;;;Gare 1;1700;Fribourg;"lun-sam 08:00 – 12:00, 14:00 – 18:00; dim 08:10 – 12:00, 13:00 – 17:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";"0900 300 300;";FE7569;;
Gare, guichet des bagages;;;;Place de la Gare 5;1950;Sion;"lun-sam 08:30 – 12:00, 13:30 – 18:00; dim 08:30 – 12:00, 13:45 – 18:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Rue de Petite-Gilberte 1;2950;Courgenay;"lun-ven 04:30 – 09:00, 13:05 – 23:15; sam-dim 04:30 – 23:15<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Place de la Gare 2;2735;Malleray-Bévilard;"lun-ven 04:40 – 22:40; sam-dim 06:00 – 22:40<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Rue de la gare;2738;Court;"lun-ven 04:50 – 19:45, 20:15 – 22:40; sam-dim 05:50 – 13:45, 14:15 – 15:45, 16:15 – 22:40<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Place de la Gare 8;2710;Tavannes;"lun-ven 05:00 – 23:50; sam-dim 06:05 – 23:50<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300,;FE7569;;
Gare, guichet des bagages;;;;av. de la gare;1618;Châtel-St-Denis;"lun-ven 05:10 – 19:00; sam 06:10 – 13:30, 14:00 – 17:50; dim 08:00 – 12:00, 14:00 – 17:50<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 21 948 70 15;FE7569;;
Gare, guichet des bagages;;;;rue de la Gare 27;2720;Tramelan;"lun-ven 05:15 – 21:30; sam-dim 06:15 – 08:15, 8:45 – 16:15, 16:45 – 21:30<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 32 486 93 45;FE7569;;
Gare, guichet des bagages;;;;rue de la Gare 1;2340;Le Noirmont;"lun-ven 05:20 – 18:35, 19:15 – 22:15; sam 06:00 – 07:40, 08:15 – 12:40, 13:15 – 18:35, 19:15 – 22:15; dim 07:00 – 07:40, 08:15 – 12:40, 13:15 – 18:35, 19:15 – 22:15<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 32 486 93 03;FE7569;;
Gare, guichet des bagages;;;;Gare;1264;St-Cergue;"lun-ven 05:25 – 20:30; sam-dim 06:00 – 18:05<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Place des Bastians 7;1470;Estavayer-le-Lac;"lun-ven 05:30 – 18:00; sam 05:30 – 11:20, 14:10 – 17:20<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Gare;1784;Courtepin;"lun-ven 05:30 – 18:30; sam 05:30 – 11:30; dim 07:00 – 11:30<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Avenue de la Gare 16;2114;Fleurier;"lun-ven 05:30 – 21:50, 22:10 – 23:35; sam-dim 06:10 – 19:50, 20:10 – 23:35<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 32 924 23 40;FE7569;;
Gare, guichet des bagages;;;;route de Courgenay 3;2942;Alle;"lun-ven 05:50 – 08:45, 09:15 – 11:20, 12:50 – 14:50<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 32 471 13 14;FE7569;;
Gare, guichet des bagages;;;;Gare;1450;Ste-Croix;"lun-ven 05:50 – 18:15; sam 07:00 – 11:50, 13:00 – 17:15; dim 08:00 – 11:50, 13:00 – 17:15<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Gare;1347;Sentier-Orient;"lun-ven 05:50 – 18:15<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 21 845 55 15;FE7569;;
Gare, guichet des bagages;;;;Gare;1523;Les Granges (Orbe);"lun-ven 06:00 – 18:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Place de la Gare 1;1580;Avenches;"lun-ven 13:00 – 19:30<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;La Gare 4;2900;Porrentruy/Pruntrut;"lun-ven 06:00 – 19:15; sam 07:45 – 12:00, 13:00 – 18:00; dim 08:45 – 12:00, 14:00 – 18:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Place de la gare;2800;Delémont;"lun-ven 06:15 – 19:00; sam 06:15 – 18:00; dim 08:15 – 11:45, 14:00 – 18:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;place de la Gare 1;2000;Neuenburg/Neuchâtel;"lun-ven 06:15 – 19:45; sam-dim 07:15 – 19:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Sentier de la Gare;1807;Blonay;"lun-ven 06:30 – 18:00; sam-dim 08:00 – 17:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Route de la gare;1680;Romont;"lun-ven 06:30 – 18:20; sam 08:35 – 12:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Place de la Gare 1;1860;Aigle;"lun-ven 07:00 – 18:30; sam 08:00 – 17:00, dim 08:00 – 12:00, 13:30 – 17:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Gare;1400;Yverdon-les-Bains;"lun-ven 06:30 – 19:00; sam 07:40 – 18:10; dim 07:45 – 12:10, 13:45 – 17:05<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Bord du Quai 4, batiment provisoire;1260;Nyon;"lun-ven 06:30 – 19:00; sam 07:45 – 17:20; dim 08:00 – 17:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Rue de la Gare 5;1607;Palézieux;"lun-ven 06:35 – 11:00, 13:40 – 17:10<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Gare;1782;Belfaux –Village FR;"lun-ven 06:40 – 09:40<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";;FE7569;;
Gare, guichet des bagages;;;;Rue de la Gare 14;1530;Payerne;"lun-ven 06:40 – 17:40; sam 08:10 – 14:45<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Gare CMN;2316;Les Ponts-de-Martel;"lun-ven 06:45 – 09:30, 10:00 – 12:00, 13:00 – 15:15<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 32 937 11 27;FE7569;;
Gare, guichet des bagages;;;;Avenue de la Gare 20;2740;Moutier;"lun-ven 06:45 – 18:30; sam 07:40 – 11:45, 12:45 – 15:55<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;route de Châtel-St-Denis 3;1800;Vevey;"lun-ven 06:45 – 19:00; sam 08:00 – 18:00; dim 08:00 – 12:00, 13:30 – 17:15<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Place de la Gare;1110;Morges;"lun-ven 06:40 – 18:00; sam 08:00 – 17:00, dim 08:00 – 11:50 & 13:10 - 17:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Gare;1854;Leysin-Feydey;"lun-ven 07:00 – 09:00, 09:40 – 12:00, 13:45 – 16:50; sam-dim 08:50 – 12:00, 12:45 – 16:00, 16:30 – 17:50<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 24 494 11 15;FE7569;;
Gare, guichet des bagages;;;;Avenue de la Gare 53;1920;Martigny;"lun-ven 07:00 – 19:00; sam 07:45 – 18:00; dim 07:45 – 12:00, 13:45 – 18:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Gare;1215;Genève-Aéroport;"lun-dim 07:30 – 20:15<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Rue du Simplon 32;1000;Lausanne;"lun-ven 08:30 – 18:45; sam 09:00 – 13:00, 14:00 – 18:30<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Rue des Gares 12;1200;Genf/Genève;"lun-ven 08:30 – 18:45; sam-dim 09:00 – 13:00, 14:00 – 18:30<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Place de la Gare 4;1890;St-Maurice;"lun-ven 09:00 – 12:00, 13:20 – 18:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;place de la Gare 6;2300;La Chaux-de-Fonds;"lun-ven 08:00 – 18:00; sam 09:00 – 17:00; dim 09:00 – 11:00, 15:00 – 17:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Avenue des Alpes 74;1820;Montreux;"lun-ven 08:00 – 18:00; sam 08:00 – 17:00; dim 08:00 – 12:00, 13:30 - 17:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Gare;1669;Montbovon;"lun-ven 07:15 – 11:35, 13:15 – 16:30<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 26 928 11 04;FE7569;;
Gare, guichet des bagages;;;;route de Nyon;1196;Gland;"lun-ven 07:30 – 12:00, 14:30 – 18:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Gare;2944;Bonfol;"lun, mar, jeu 05:30 – 11:35<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 32 474 44 28;FE7569;;
Gare, guichet des bagages;;;;Rue de la Gare 7;2855;Glovelier;"lun-dim 05:05 – 21:40<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Gare;1933;Sembrancher;"lun-dim 05:20 – 00:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;route de la Gare 10;1660;Château-d'Oex;"lun-dim 06:30 – 18:50<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 26 924 64 58;FE7569;;
Gare, guichet des bagages;;;;Gare;1884;Villars-sur-Ollon;"lun-dim 07:00 – 16:30<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 24 495 21 15;FE7569;;
Gare, guichet des bagages;;;;Gare;1937;Orsières;"lun-dim 07:45 – 12:00, 13:10 – 17:25<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 27 783 11 05;FE7569;;
Gare, guichet des bagages;;;;Gare;1934;Le Châble;"lun-dim 08:00 – 12:00, 13:00 – 17:30<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 58 668 86 20;FE7569;;
Gare, guichet des bagages;;;;Gare;1865;Les Diablerets;"lun-dim 08:10 – 09:30, 10:00 – 11:50, 14:45 – 17:15<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 24 492 31 15;FE7569;;
Gare, guichet des bagages;;;;Martigny-Châtelard;1923;Les Marécottes;"lun-dim 08:15 – 12:15, 13:45 – 17:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 27 761 13 29;FE7569;;
Gare, guichet des bagages;;;;Gare;1874;Champéry;"lun-dim 08:20 – 11:30, 14:20 – 18:30<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 24 479 12 15;FE7569;;
Gare, guichet des bagages;;;;place de la Gare 1;1925;Finhaut;"lun-dim 08:30 – 12:15, 13:30 – 17:45<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 27 768 11 24;FE7569;;
Gare, guichet des bagages;;;;route des Chemins de Fer;1823;Glion;"lun-dim 8:20 – 12:00, 13:45 – 17:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 21 989 83 90;FE7569;;
